movieID,movie title,genres
m39,the bourne supremacy,['action' 'adventure' 'mystery' 'thriller']
m40,braveheart,['action' 'biography' 'drama' 'history' 'war']
m41,the butterfly effect,['drama' 'mystery' 'sci-fi' 'thriller']
m42,casablanca,['drama' 'romance' 'war']
m43,cast away,['adventure' 'drama']
m44,the cider house rules,['drama' 'romance']
m45,confidence,['crime' 'thriller']
m46,croupier,['crime' 'drama']
m47,dark star,['comedy' 'sci-fi' 'thriller']
m48,dark angel,['action' 'crime' 'drama' 'horror' 'sci-fi' 'thriller']
m49,detroit rock city,['comedy' 'music']
m50,donnie darko,['drama' 'mystery' 'sci-fi']
m51,drop dead gorgeous,['comedy' 'adult']
m52,duck soup,['comedy' 'musical']
m53,the elephant man,['biography' 'drama' 'history']
m54,erik the viking,['comedy' 'adventure' 'fantasy']
m55,eternal sunshine of the spotless mind,['drama' 'romance' 'sci-fi']
m56,even cowgirls get the blues,['comedy' 'drama' 'romance' 'western']
m57,event horizon,['horror' 'mystery' 'mystery' 'sci-fi' 'sci-fi']
m58,fantastic four,['action' 'adventure' 'fantasy' 'sci-fi' 'fantasy']
m59,fast times at ridgemont high,['comedy' 'drama' 'romance']
m60,fear and loathing in las vegas,['drama' 'fantasy']
m61,feast,['action' 'comedy' 'horror' 'thriller']
m62,frances,['biography' 'drama']
m63,frankenstein,['drama' 'horror' 'sci-fi']
m64,friday the 13th,['horror']
m65,from dusk till dawn,['action' 'crime' 'horror' 'thriller']
m66,g.i. jane,['action' 'drama']
m67,godzilla,['action' 'horror' 'sci-fi' 'thriller']
m68,galaxy quest,['action' 'adventure' 'comedy' 'sci-fi']
m69,george washington,['drama']
m70,get shorty,['comedy' 'crime' 'thriller']
m71,ghost ship,['horror' 'mystery' 'thriller']
m72,ghost world,['comedy' 'drama']
m73,the ghost and the darkness,['adventure' 'drama' 'thriller']
m74,ghostbusters ii,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi']
m75,ghostbusters,['animation' 'comedy' 'fantasy' 'sci-fi' 'horror']
m76,gladiator,['action' 'adventure' 'drama']
m77,the graduate,['comedy' 'drama' 'romance']
m78,grand hotel,['drama' 'romance']
m79,the grifters,['crime' 'drama' 'thriller']
m80,halloween h20: 20 years later,['drama' 'horror' 'thriller']
m81,halloween: the curse of michael myers,['horror' 'thriller']
m82,happy birthday wanda june,['comedy' 'drama']
m83,hardcore,['drama']
m84,harold and maude,['comedy' 'romance']
m85,hellbound: hellraiser ii,['drama' 'horror' 'thriller']
m86,hellboy,['action' 'adventure' 'fantasy']
m87,hellraiser,['horror']
m88,high fidelity,['comedy' 'drama' 'music' 'romance']
m89,highlander,['action' 'fantasy']
m90,his girl friday,['comedy' 'drama' 'romance']
m91,hope and glory,['drama' 'war']
m92,house of 1000 corpses,['horror']
m93,human nature,['comedy' 'drama']
m94,the hustler,['drama' 'romance' 'sport']
m95,i am legend,['drama' 'sci-fi' 'thriller']
m96,invaders from mars,['horror' 'sci-fi']
m97,independence day,['action' 'adventure' 'sci-fi' 'thriller']
m98,indiana jones and the last crusade,['action' 'adventure' 'thriller' 'action' 'adventure' 'fantasy']
m99,indiana jones and the temple of doom,['action' 'adventure']
m100,innerspace,['action' 'adventure' 'comedy' 'crime' 'sci-fi']
m101,the insider,['biography' 'drama' 'thriller']
m102,intolerable cruelty,['comedy' 'romance' 'crime']
m103,it happened one night,['comedy' 'romance']
m104,jfk,['biography' 'drama' 'history' 'mystery' 'thriller']
m105,jackie brown,['crime' 'drama' 'thriller']
m106,jacob's ladder,['drama' 'mystery' 'thriller']
m107,jason x,['horror' 'sci-fi']
m108,jaws,['thriller']
m109,juno,['comedy' 'drama']
m110,kalifornia,['crime' 'drama' 'thriller']
m111,kids,['crime' 'drama']
m112,knight moves,['mystery' 'thriller']
m113,krull,['fantasy' 'action' 'adventure' 'sci-fi']
m114,léon,['crime' 'drama' 'thriller']
m115,labor of love,[]
m116,leaving las vegas,['drama' 'romance']
m117,legally blonde,['comedy']
m118,legend,['fantasy' 'adventure' 'romance']
m119,life as a house,['drama' 'romance']
m120,the life of david gale,['drama' 'crime' 'thriller']
m121,little nicky,['fantasy' 'comedy' 'romance' 'animation' 'comedy' 'fantasy' 'horror']
m122,logan's run,['action' 'sci-fi']
m123,lost highway,['drama' 'horror' 'mystery' 'thriller']
m124,lost horizon,['adventure' 'drama' 'fantasy' 'mystery']
m125,men in black,['action' 'adventure' 'comedy' 'sci-fi']
m126,minority report,['action' 'crime' 'mystery' 'sci-fi' 'thriller' 'action' 'animation' 'drama' 'mystery' 'sci-fi' 'thriller']
m127,made,['comedy' 'crime' 'drama' 'thriller']
m128,malcolm x,['biography' 'drama' 'history']
m129,man on fire,['action' 'crime' 'drama' 'thriller']
m130,marty,['drama' 'romance']
m131,mash,['comedy' 'war' 'drama']
m132,meet john doe,['comedy' 'drama' 'romance']
m133,metro,['action' 'comedy' 'crime' 'drama' 'thriller']
m134,metropolis,['adventure' 'drama' 'sci-fi']
m135,mighty morphin power rangers,['action' 'family']
m136,mobsters,['crime' 'drama']
m137,monkeybone,['animation' 'comedy' 'fantasy' 'romance']
m138,my mother dreams the satan's disciples in new york,['short']
m139,mr. smith goes to washington,['drama']
m140,mr. deeds goes to town,['comedy' 'romance']
m141,mumford,['comedy' 'drama']
m142,the mummy,['action' 'adventure' 'fantasy']
m143,mystery men,['action' 'comedy' 'fantasy']
m144,napoleon,['family' 'adventure']
m145,next friday,['comedy']
m146,nick of time,['crime' 'drama' 'thriller']
m147,the night of the hunter,['drama' 'film-noir' 'thriller']
m148,a nightmare on elm street,['horror']
m149,ninotchka,['comedy' 'romance']
m150,nixon,['biography' 'drama']
m151,no country for old men,['crime' 'drama' 'mystery' 'thriller' 'western']
m152,nurse betty,['comedy' 'crime' 'romance' 'thriller']
m153,o brother where art thou?,['comedy' 'adventure' 'crime' 'music']
m154,an officer and a gentleman,['drama' 'romance']
m155,panic room,['thriller']
m156,panther,['drama']
m157,the patriot,['action' 'drama' 'war']
m158,pet sematary,['drama' 'fantasy' 'horror' 'mystery' 'thriller']
m159,pirates of the caribbean,['adventure' 'fantasy' 'horror']
m160,plastic man,['drama']
m161,platinum blonde,['comedy' 'romance']
m162,pleasantville,['comedy' 'drama' 'fantasy']
m163,punch-drunk love,['comedy' 'drama' 'romance']
m164,quills,['biography' 'drama' 'history' 'romance']
m165,rko 281,['biography' 'drama']
m166,raging bull,['biography' 'drama' 'sport']
m167,rear window,['crime' 'mystery' 'romance' 'thriller']
m168,rebel without a cause,['drama' 'romance']
m169,reindeer games,['action' 'crime' 'drama' 'thriller']
m170,reservoir dogs,['crime' 'mystery' 'thriller']
m171,roughshod,['action' 'drama' 'romance' 'western']
m172,scary movie 2,['comedy']
m173,serial mom,['comedy' 'thriller']
m174,the seventh victim,['drama' 'horror' 'thriller']
m175,sex lies and videotape,['drama']
m176,shivers,['horror' 'sci-fi']
m177,shock treatment,['comedy' 'musical']
m178,sideways,['comedy' 'drama' 'romance']
m179,signs,['drama' 'mystery' 'sci-fi' 'thriller']
m180,silverado,['action' 'western']
m181,simone,['short' 'drama' 'horror' 'thriller']
m182,the sixth sense,['drama' 'mystery' 'thriller']
m183,slash,['comedy' 'horror' 'thriller']
m184,slither,['comedy' 'horror' 'sci-fi']
m185,smokey and the bandit,['action' 'comedy' 'crime' 'romance']
m186,smokin' aces,['action' 'crime' 'drama' 'thriller']
m187,solaris,['drama' 'mystery' 'romance' 'sci-fi']
m188,someone to watch over me,['action' 'crime' 'drama' 'romance' 'thriller']
m189,spider-man,['action' 'adventure' 'fantasy' 'sci-fi' 'action' 'adventure' 'sci-fi' 'thriller']
m190,stalag 17,['drama' 'war']
m191,star trek: generations,['action' 'mystery' 'sci-fi' 'thriller']
m192,star trek iii: the search for spock,['action' 'adventure' 'sci-fi' 'thriller']
m193,star trek: the wrath of khan,['action' 'adventure' 'sci-fi' 'thriller']
m194,star trek iv: the voyage home,['adventure' 'comedy' 'sci-fi']
m195,star trek: insurrection,['action' 'adventure' 'sci-fi' 'thriller']
m196,star trek: first contact,['action' 'adventure' 'sci-fi' 'thriller']
m197,star trek vi: the undiscovered country,['action' 'mystery' 'sci-fi' 'thriller']
m198,star trek: nemesis,['action' 'sci-fi' 'thriller']
m199,starman,['adventure' 'drama' 'romance' 'sci-fi']
m200,strange days,['action' 'crime' 'drama' 'fantasy' 'music' 'mystery' 'sci-fi' 'thriller']
m201,suspect zero,['crime' 'horror' 'sci-fi' 'thriller']
m202,swingers,['comedy' 'drama']
m203,the godfather,['crime' 'drama' 'thriller']
m204,the talented mr. ripley,['crime' 'drama' 'thriller']
m205,taxi driver,['drama' 'thriller']
m206,the rock,['action' 'adventure' 'thriller']
m207,the majestic,['drama' 'romance']
m208,the birds,['horror' 'romance' 'thriller']
m209,the body snatcher,['drama' 'horror' 'thriller']
m210,the crow: salvation,['action' 'crime' 'fantasy' 'mystery' 'thriller']
m211,the day the earth stood still,['drama' 'sci-fi' 'thriller']
m212,the lost boys,['comedy' 'fantasy' 'horror' 'thriller']
m213,the thing,['horror' 'mystery' 'sci-fi' 'thriller']
m214,the time machine,['sci-fi' 'adventure' 'action']
m215,the jacket,['drama' 'fantasy' 'mystery' 'sci-fi' 'thriller']
m216,thelma & louise,['crime' 'drama' 'thriller']
m217,there's something about mary,['comedy' 'romance']
m218,thirteen days,['drama' 'history' 'thriller']
m219,thunderheart,['crime' 'mystery' 'thriller' 'western']
m220,top gun,['action' 'drama' 'romance']
m221,total recall,['action' 'adventure' 'sci-fi' 'thriller']
m222,tremors,['action' 'comedy' 'horror' 'thriller']
m223,true believer,['drama' 'crime']
m224,twin peaks: fire walk with me,['drama' 'horror' 'mystery' 'thriller']
m225,the verdict,['drama']
m226,the war of the worlds,['action' 'horror' 'sci-fi' 'thriller']
m227,new nightmare,['fantasy' 'horror' 'mystery' 'thriller']
m228,white squall,['adventure' 'drama']
m229,wild at heart,['crime' 'romance' 'thriller']
m230,wonder boys,['drama' 'comedy']
m231,the woodsman,['drama']
m232,the abyss,['action' 'adventure' 'drama' 'sci-fi' 'thriller']
m233,l'avventura,['drama' 'mystery']
m234,agnes of god,['drama' 'mystery' 'thriller']
m235,a hard day's night,['comedy' 'music']
m236,alien,['adventure' 'horror' 'sci-fi' 'thriller']
m237,alien vs. predator,['action' 'adventure' 'sci-fi']
m238,all about eve,['drama']
m239,all the president's men,['drama' 'history' 'thriller']
m240,american pie,['comedy' 'romance']
m241,an american werewolf in paris,['horror' 'romance' 'thriller' 'comedy']
m242,anastasia,['animation' 'adventure' 'drama' 'family' 'musical' 'animation' 'family']
m243,annie hall,['comedy' 'drama' 'romance']
m244,the anniversary party,['drama' 'comedy']
m245,antz,['animation' 'adventure' 'comedy' 'family']
m246,the apartment,['romance' 'comedy' 'drama']
m247,apocalypse now,['drama' 'war']
m248,arctic blue,['action' 'thriller']
m249,as good as it gets,['comedy' 'drama' 'romance']
m250,assassins,['action' 'thriller' 'crime']
m251,asylum,['drama' 'romance' 'thriller']
m252,a walk to remember,['drama' 'romance']
m253,back to the future,['adventure' 'family' 'sci-fi']
m254,badlands,['crime' 'drama' 'romance' 'thriller']
m255,the adventures of buckaroo banzai across the 8th dimension,['adventure' 'romance' 'comedy' 'sci-fi']
m256,barton fink,['drama' 'mystery' 'thriller']
m257,basic instinct,['mystery' 'romance' 'thriller']
m258,basquiat,['biography' 'drama']
m259,batman returns,['action' 'crime' 'fantasy' 'thriller' 'animation' 'crime' 'fantasy' 'action' 'thriller']
m260,batman and robin,['action' 'adventure' 'crime' 'drama' 'sci-fi']
m261,batman forever,['action' 'crime' 'fantasy' 'thriller']
m262,batman,['crime' 'drama' 'thriller' 'action' 'adventure' 'crime']
m263,bean,['comedy' 'family']
m264,beavis and butt-head do america,['animation' 'adventure' 'comedy' 'crime']
m265,beetle juice,['comedy' 'fantasy']
m266,being there,['drama' 'comedy']
m267,being john malkovich,['comedy' 'drama' 'fantasy' 'romance']
m268,beloved,['drama' 'mystery']
m269,the big lebowski,['comedy' 'crime' 'mystery']
m270,the black dahlia,['crime' 'drama' 'history' 'mystery' 'thriller']
m271,blade ii,['action' 'fantasy' 'horror' 'thriller' 'action' 'adventure' 'horror']
m272,blade,['action' 'adventure' 'fantasy' 'horror' 'thriller']
m273,book of shadows: blair witch 2,['crime' 'horror' 'mystery' 'thriller']
m274,blood simple.,['crime' 'drama' 'thriller']
m275,bloodmoon,['action' 'thriller']
m276,blow,['biography' 'crime' 'drama']
m277,la battaglia di algeri,['drama' 'history' 'war']
m278,body of evidence,['drama' 'romance' 'thriller']
m279,the bridges of madison county,['drama' 'romance']
m280,bones,['crime' 'horror']
m281,bound,['crime' 'drama' 'thriller']
m282,the bourne identity,['action' 'adventure' 'mystery' 'thriller']
m283,brazil,['drama' 'fantasy' 'sci-fi']
m284,bringing out the dead,['drama' 'thriller']
m285,broadcast news,['comedy' 'drama' 'romance']
m286,a bucket of blood,['comedy' 'horror']
m287,buffy the vampire slayer,['horror' 'comedy' 'action']
m288,bull durham,['comedy' 'romance' 'sport']
m289,casino,['biography' 'crime' 'drama']
m290,catwoman,['action' 'crime' 'fantasy']
m291,cellular,['action' 'crime' 'thriller']
m292,the crying game,['drama' 'thriller']
m293,charade,['comedy' 'mystery' 'romance' 'thriller']
m294,cherry falls,['horror' 'mystery' 'thriller']
m295,chill factor,['action' 'adventure' 'comedy' 'thriller']
m296,chinatown,['crime' 'drama' 'mystery' 'thriller']
m297,nuovo cinema paradiso,['comedy' 'drama' 'romance']
m298,citizen kane,['drama' 'mystery']
m299,clerks.,['comedy']
m300,cliffhanger,['action' 'adventure' 'thriller']
m301,a clockwork orange,['crime' 'drama' 'sci-fi']
m302,collateral,['crime' 'drama' 'thriller']
m303,conspiracy theory,['action' 'crime' 'mystery' 'romance' 'thriller']
m304,contact,['drama' 'mystery' 'sci-fi' 'thriller']
m305,cool hand luke,['crime' 'drama']
m306,copycat,['crime' 'mystery' 'thriller']
m307,crash,['crime' 'drama']
m308,crazy love,['documentary']
m309,crime spree,['action' 'comedy' 'crime']
m310,crouching tiger hidden dragon,['action']
m311,the crow,['action' 'crime' 'fantasy' 'thriller']
m312,cruel intentions,['drama' 'romance' 'thriller']
m313,the curse of the cat people,['drama' 'fantasy' 'horror']
m314,the curse,['sci-fi' 'horror']
m315,dark city,['mystery' 'sci-fi' 'thriller']
m316,dave,['comedy' 'romance']
m317,day of the dead,['horror' 'sci-fi']
m318,dead poets society,['drama']
m319,deep rising,['action' 'horror' 'sci-fi' 'thriller']
m320,the deer hunter,['drama' 'war']
m321,demolition man,['action' 'crime' 'sci-fi']
m322,the devil and daniel webster,['comedy' 'drama' 'fantasy']
m323,die hard,['action' 'crime' 'thriller']
m324,dog day afternoon,['crime' 'drama']
m325,domino,['action' 'crime' 'drama' 'thriller']
m326,do the right thing,['drama']
m327,dumb and dumberer: when harry met lloyd,['comedy']
m328,dune,['action' 'adventure' 'sci-fi']
m329,ed wood,['biography' 'comedy' 'drama']
m330,edtv,['comedy']
m331,election,['comedy' 'drama']
m332,l.a. confidential,['crime' 'drama' 'mystery' 'thriller']
m333,enemy of the state,['action' 'drama' 'thriller']
m334,the english patient,['romance' 'drama' 'war']
m335,entrapment,['action' 'crime' 'romance' 'thriller']
m336,erin brockovich,['biography' 'drama' 'romance']
m337,star wars: the empire strikes back,['animation' 'adventure' 'action' 'fantasy']
m338,escape from the planet of the apes,['sci-fi' 'thriller']
m339,escape from l.a.,['action' 'adventure' 'sci-fi' 'thriller']
m340,excalibur,['adventure' 'drama' 'fantasy']
m341,the exorcist,['horror' 'thriller']
m342,the fabulous baker boys,['drama' 'music' 'romance']
m343,face/off,['action' 'crime' 'drama' 'sci-fi' 'thriller']
m344,the family man,['comedy' 'fantasy' 'drama' 'romance']
m345,the fantastic four,['action' 'adventure' 'sci-fi' 'fantasy']
m346,fantastic voyage,['adventure' 'sci-fi']
m347,fargo,['crime' 'drama' 'thriller']
m348,fight club,['crime' 'drama' 'mystery' 'thriller']
m349,final destination 2,['horror' 'thriller']
m350,final destination,['horror' 'thriller']
m351,rambo: first blood part ii,['action' 'adventure' 'thriller']
m352,the fisher king,['comedy' 'drama' 'romance']
m353,five easy pieces,['drama']
m354,five feet high and rising,['short']
m355,fletch,['comedy' 'crime' 'mystery']
m356,the adventures of ford fairlane,['action' 'adventure' 'comedy' 'music']
m357,the french connection,['action' 'crime' 'thriller']
m358,frequency,['crime' 'drama' 'sci-fi' 'thriller']
m359,friday the 13th part iii,['horror']
m360,jason lives: friday the 13th part vi,['comedy' 'horror' 'thriller']
m361,jason goes to hell: the final friday,['horror' 'thriller']
m362,friday the 13th part viii: jason takes manhattan,['horror']
m363,game 6,['comedy' 'drama' 'sport']
m364,gandhi,['biography' 'drama' 'history']
m365,gattaca,['drama' 'romance' 'sci-fi' 'thriller']
m366,the getaway,['action' 'adventure' 'crime' 'thriller']
m367,get carter,['action' 'crime' 'drama' 'thriller']
m368,glengarry glen ross,['drama']
m369,the godfather: part ii,['crime' 'drama' 'thriller']
m370,gods and monsters,['biography' 'drama']
m371,gone in sixty seconds,['action' 'crime' 'thriller']
m372,goodfellas,['crime' 'drama' 'thriller']
m373,good will hunting,['drama']
m374,the grapes of wrath,['drama']
m375,grosse pointe blank,['comedy' 'crime' 'romance' 'thriller']
m376,the horse whisperer,['drama' 'romance' 'western']
m377,hackers,['action' 'crime' 'drama' 'thriller']
m378,halloween 4: the return of michael myers,['horror' 'thriller']
m379,halloween,['horror' 'thriller']
m380,hannah and her sisters,['comedy' 'drama' 'romance']
m381,hannibal,['crime' 'thriller']
m382,happy campers,['comedy']
m383,heathers,['comedy' 'crime']
m384,heavenly creatures,['crime' 'drama' 'fantasy' 'thriller']
m385,hellraiser: hellseeker,['horror' 'mystery' 'thriller']
m386,hero,['comedy' 'drama']
m387,hider in the house,['thriller']
m388,highlander iii: the sorcerer,['fantasy' 'sci-fi' 'action']
m389,hostage,['action' 'crime' 'drama' 'thriller']
m390,hotel rwanda,['adventure' 'drama' 'history' 'thriller' 'war']
m391,house on haunted hill,['horror' 'mystery' 'thriller']
m392,house of the damned,['action' 'horror' 'thriller']
m393,hellraiser iii: hell on earth,['horror']
m394,hudson hawk,['action' 'adventure' 'comedy' 'action' 'adventure' 'comedy' 'crime']
m395,the hudsucker proxy,['comedy' 'drama' 'fantasy' 'romance']
m396,i walked with a zombie,['horror']
m397,the ice storm,['drama']
m398,insomnia,['crime' 'drama' 'mystery' 'thriller']
m399,interview with the vampire: the vampire chronicles,['drama' 'fantasy']
m400,i still know what you did last summer,['horror' 'mystery' 'thriller']
m401,isle of the dead,['drama' 'horror' 'mystery' 'thriller']
m402,it's a wonderful life,['drama' 'fantasy' 'romance']
m403,jaws 2,['thriller']
m404,jaws 3-d,['thriller']
m405,jaws: the revenge,['thriller']
m406,the jazz singer,['drama' 'music' 'romance']
m407,jennifer eight,['thriller' 'mystery']
m408,jerry maguire,['comedy' 'drama' 'romance' 'sport']
m409,jurassic park iii,['action' 'adventure' 'sci-fi' 'thriller']
m410,the lost world: jurassic park,['action' 'adventure' 'sci-fi' 'thriller' 'action' 'adventure' 'animation' 'horror' 'sci-fi' 'thriller']
m411,jurassic park,['action' 'adventure' 'family' 'sci-fi' 'action' 'adventure' 'fantasy' 'sci-fi']
m412,freddy vs. jason,['horror' 'thriller']
m413,kafka,['comedy' 'drama' 'mystery' 'sci-fi' 'thriller']
m414,king kong,['adventure' 'drama' 'romance']
m415,klute,['mystery' 'romance' 'thriller']
m416,kramer vs. kramer,['drama']
m417,kundun,['biography' 'drama' 'history' 'war']
m418,lake placid,['action' 'comedy' 'horror' 'thriller']
m419,the silence of the lambs,['crime' 'thriller']
m420,last of the mohicans,['action' 'adventure' 'war']
m421,leviathan,['adventure' 'horror' 'mystery' 'sci-fi' 'thriller']
m422,lock stock and two smoking barrels,['crime' 'thriller']
m423,lone star,['drama' 'mystery' 'romance' 'western']
m424,lord of illusions,['fantasy' 'horror' 'mystery' 'thriller']
m425,lost in translation,['drama' 'romance']
m426,lost souls,['drama' 'horror' 'thriller' 'romance']
m427,love & basketball,['drama' 'romance' 'sport']
m428,magnolia,['drama']
m429,the man in the iron mask,['action' 'adventure' 'drama' 'history']
m430,manhunt,['action' 'adventure' 'crime' 'horror' 'thriller']
m431,manhunter,['crime' 'thriller']
m432,man on the moon,['biography' 'comedy' 'drama']
m433,the matrix,['action' 'adventure' 'adventure' 'adventure' 'sci-fi']
m434,halloween iii: season of the witch,['horror' 'mystery' 'sci-fi']
m435,meet joe black,['drama' 'fantasy' 'mystery' 'romance']
m436,memento,['crime' 'drama' 'mystery' 'thriller']
m437,miami vice,['action' 'crime' 'drama' 'thriller']
m438,midnight cowboy,['drama']
m439,midnight express,['biography' 'crime' 'drama' 'thriller']
m440,mimic,['drama' 'horror' 'sci-fi']
m441,misery,['thriller']
m442,mission: impossible ii,['action' 'adventure' 'thriller']
m443,mission: impossible,['action' 'adventure' 'thriller']
m444,moonstruck,['comedy' 'romance' 'drama']
m445,monty python and the holy grail,['adventure' 'comedy']
m446,mrs brown,['biography' 'drama' 'history' 'romance']
m447,arcade,['sci-fi']
m448,mulholland dr.,['drama' 'mystery' 'thriller']
"m449	""murderland""	2009	5.80	88	['crime' 'drama' 'mystery']",,
m450,my girl 2,['comedy' 'drama' 'family' 'romance']
m451,my girl,['comedy' 'drama' 'family' 'romance']
m452,my best friend's wedding,['comedy' 'romance']
m453,nashville,['drama' 'music']
m454,natural born killers,['action' 'crime' 'drama' 'romance' 'thriller']
m455,nothing but a man,['drama' 'romance']
m456,the negotiator,['action' 'crime' 'drama' 'mystery' 'thriller']
m457,neuromancer,['action' 'adventure' 'animation' 'sci-fi']
m458,never been kissed,['comedy' 'drama' 'romance']
m459,the nightmare before christmas,['animation' 'family' 'fantasy' 'musical']
m460,a nightmare on elm street part 2: freddy's revenge,['fantasy' 'horror' 'thriller']
m461,a nightmare on elm street 3: dream warriors,['fantasy' 'horror' 'thriller']
m462,notting hill,['comedy' 'romance']
m463,one flew over the cuckoo's nest,['drama']
m464,only you,['comedy' 'romance']
m465,on the waterfront,['crime' 'drama' 'romance']
m466,orgy of the dead,['fantasy' 'horror']
m467,out of sight,['comedy' 'crime' 'romance' 'thriller']
m468,pearl harbor,['action' 'drama' 'romance' 'war']
m469,peggy sue got married,['comedy' 'drama' 'fantasy' 'romance']
m470,pet sematary ii,['action' 'horror' 'thriller']
m471,philadelphia,['drama']
m472,pitch black,['action' 'sci-fi' 'thriller']
m473,planet of the apes,['action' 'adventure' 'sci-fi' 'thriller' 'animation' 'action' 'adventure' 'sci-fi']
m474,platoon,['action' 'drama' 'war']
m475,playback,['thriller']
m476,the ploughman's lunch,['drama']
m477,point break,['action' 'adventure' 'crime' 'drama' 'sport' 'thriller']
m478,predator,['action' 'adventure' 'sci-fi' 'thriller']
m479,pretty woman,['comedy' 'romance']
m480,the princess bride,['adventure' 'comedy' 'family' 'fantasy' 'romance']
m481,the producers,['comedy']
m482,psycho,['drama' 'horror' 'mystery' 'thriller' 'thriller']
m483,maniac,['drama' 'horror' 'thriller']
m484,vampyr,['fantasy' 'horror']
m485,mystery of the wax museum,['horror' 'mystery' 'thriller']
m486,quantum project,['short' 'adventure' 'drama' 'romance']
m487,rambling rose,['drama']
m488,red white black & blue,['documentary']
m489,star wars: episode vi - return of the jedi,['action' 'adventure' 'fantasy' 'sci-fi']
m490,the rocky horror picture show,['comedy' 'musical']
m491,rocky,['drama' 'romance' 'sport']
m492,who framed roger rabbit,['animation' 'comedy' 'crime' 'family' 'fantasy' 'mystery' 'animation' 'adventure' 'action' 'fantasy']
m493,romeo and juliet,['drama' 'romance']
m494,ronin,['action' 'crime' 'thriller']
m495,route 9,['crime' 'drama']
m496,rush hour 2,['action' 'comedy' 'crime' 'thriller']
m497,rush hour,['action' 'comedy' 'thriller' 'crime']
m498,runaway bride,['comedy' 'romance']
m499,sleepless in seattle,['comedy' 'romance' 'drama']
m500,salt of the earth,['drama' 'history']
m501,the salton sea,['crime' 'drama' 'mystery' 'thriller']
m502,saving private ryan,['action' 'drama' 'history' 'war']
m503,say anything...,['comedy' 'drama' 'romance']
m504,schindler's list,['biography' 'drama' 'history' 'war']
m505,scream 2,['horror' 'mystery' 'thriller']
m506,scream 3,['horror' 'mystery' 'thriller']
m507,scream,['crime' 'horror' 'mystery' 'thriller']
m508,seven,['action' 'drama']
m509,the searchers,['adventure' 'drama' 'western']
m510,seven days to live,['drama' 'horror' 'thriller']
m511,shakespeare in love,['comedy' 'drama' 'romance']
m512,shallow grave,['comedy' 'crime' 'drama' 'thriller']
m513,shampoo,['drama' 'romance']
m514,the shining,['horror' 'mystery' 'thriller']
m515,silver bullet,['adventure' 'drama' 'horror' 'mystery' 'thriller']
m516,sister act,['comedy' 'crime' 'music']
m517,sleepy hollow,['fantasy' 'mystery' 'thriller']
m518,sling blade,['drama']
m519,smoke,['comedy' 'drama']
m520,snow falling on cedars,['drama' 'mystery' 'romance' 'thriller']
m521,soldier,['action' 'drama' 'sci-fi']
m522,some like it hot,['comedy']
m523,the wedding date,['comedy' 'romance']
m524,sounder,['drama']
m525,south park: bigger longer & uncut,['animation' 'comedy' 'musical']
m526,spacejacked,['action' 'sci-fi']
m527,spare me,['thriller']
m528,sphere,['drama' 'horror' 'mystery' 'sci-fi' 'thriller']
m529,star wars,['action' 'adventure' 'fantasy' 'sci-fi']
m530,starship troopers,['action' 'adventure' 'sci-fi' 'thriller']
m531,star trek: the motion picture,['adventure' 'fantasy' 'mystery' 'sci-fi']
m532,state and main,['comedy' 'drama']
m533,stepmom,['comedy' 'drama']
