characterID,character name,movieID
u85,LEELOO,m5
u86,LOC RHOD,m5
u87,MACTILBURGH,m5
u88,MOTHER,m5
u89,MUGGER,m5
u90,MUNRO,m5
u91,PRESIDENT,m5
u92,PRIEST,m5
u93,PROFESSOR,m5
u94,SECRETARY,m5
u95,SHADOW,m5
u96,STAEDERT,m5
u97,THAI,m5
u98,VOICE,m5
u99,ZORG,m5
u100,AMY,m6
u101,ANGRY DEALER,m6
u102,DINO,m6
u103,DINO VELVET,m6
u104,DIRECTOR,m6
u105,EDDIE,m6
u106,LONGDALE,m6
u107,MALE VOICE,m6
u108,MAX,m6
u109,MRS CHRISTIAN,m6
u110,MRS MATHEWS,m6
u111,NUN,m6
u112,POLITICIAN,m6
u113,SALESPERSON,m6
u114,WELLES,m6
u115,ALICE,m7
u116,DAN,m7
u117,DEBBIE,m7
u118,ELAINE,m7
u119,KRISTEN,m7
u120,NURSE,m7
u121,RICK,m7
u122,SHEILA,m7
u123,ALICE,m8
u124,ALICE'S DAD,m8
u125,DAN,m8
u126,GRETA,m8
u127,JACOB,m8
u128,MARK,m8
u129,MRS. JORDAN,m8
u130,YVONNE,m8
u131,CARL,m9
u132,DAVE,m9
u133,GRIFF,m9
u134,KENT,m9
u135,REEF,m9
u136,SAUCER VOICE,m9
u137,SIR IAN,m9
u138,WENDOVER,m9
u139,ALMA,m10
u140,CHICK,m10
u141,HAND,m10
u142,JACK,m10
u143,JILL,m10
u144,LARIVIERE,m10
u145,LILLIAN,m10
u146,LUGENE,m10
u147,MARGIE,m10
u148,MEL GORDON,m10
u149,MRS. GORDON,m10
u150,NICK,m10
u151,POP,m10
u152,ROLFE,m10
u153,TWOMBLEY,m10
u154,WADE,m10
u155,ALICE,m11
u156,CERALLOS,m11
u157,CHIEF MECHANIC,m11
u158,COL. CARLTON,m11
u159,DEAN,m11
u160,DOHERTY,m11
u161,GENERAL NORTHWOOD,m11
u162,GIBBS,m11
u163,IRAQI SOLDIER,m11
u164,KC-135 PILOT,m11
u165,KC-LO PILOT,m11
u166,KORSHUNOV,m11
u167,LEE,m11
u168,MAJOR CALDWELL,m11
u169,MARSHALL,m11
u170,MITCHELL,m11
u171,ROSE,m11
u172,SECRET SERVICE AGENT,m11
u173,SECRETARY,m11
u174,SHEPHERD,m11
u175,SWITCHBOARD,m11
u176,TOWER,m11
u177,V.P. CHANDLER,m11
u178,COMMISSIONER,m12
u179,DUNN,m12
u180,ELAINE,m12
u181,JIMMY,m12
u182,JOE,m12
u183,JOHN,m12
u184,KRUGER,m12
u185,MARY,m12
u186,OVEUR,m12
u187,PORTER,m12
u188,RECEPTIONIST,m12
u189,ROK,m12
u190,RUMACK,m12
u191,SIMON,m12
u192,STELLA,m12
u193,TED,m12
u194,WIFE,m12
u195,BERNICE,m13
u196,CAREY,m13
u197,DR. RUMACK,m13
u198,ELAINE,m13
u199,GIRL,m13
u200,GUNDERSON,m13
u201,JACK,m13
u202,JOEY,m13
u203,KRAMER,m13
u204,LISA,m13
u205,MILTON,m13
u206,MRS. HAMMEN,m13
u207,MRS. KRAMER,m13
u208,MURDOCK,m13
u209,OVEUR,m13
u210,RANDY,m13
u211,SHIRLEY,m13
u212,SISTER ANGELINA,m13
u213,SOLDIER,m13
u214,STRIKER,m13
u215,CASSANDRA,m14
u216,FEDORCHUK,m14
u217,HARCOURT,m14
u218,JETSON,m14
u219,KIPLING,m14
u220,MAFFET,m14
u221,O'NEAL,m14
u222,OPERATOR,m14
u223,PORTER,m14
u224,SYKES,m14
u225,TUGGLE,m14
u226,WARNER,m14
u227,WINTER,m14
u228,APONE,m15
u229,BISHOP,m15
u230,BURKE,m15
u231,GORMAN,m15
u232,HICKS,m15
u233,HUDSON,m15
u234,LYDECKER,m15
u235,MED-TECH,m15
u236,NEWT,m15
u237,RIPLEY,m15
u238,SIMPSON,m15
u239,VAN LEUWEN,m15
u240,VASQUEZ,m15
u241,ALLEGRO,m16
u242,ANDANTE,m16
u243,ARCO,m16
u244,CAVALIERI,m16
u245,COLLOREDO,m16
u246,COMMENDATORE,m16
u247,CONSTANZE,m16
u248,FIRST LADY,m16
u249,FLUNKY,m16
u250,FRAU SCHLUMBERG,m16
u251,JOSEPH,m16
u252,LEOPOLD,m16
u253,LORL,m16
u254,MADAME WEBER,m16
u255,MOZART,m16
u256,OFFICER,m16
u257,OLD SALIERI,m16
u258,ORSINI-ROSENBERG,m16
u259,PAPAGENO,m16
u260,SALIERI,m16
u261,SCHIKANEDER,m16
u262,SCHLUMBERG,m16
u263,SECOND LADY,m16
u264,SERVANT,m16
u265,UGLY OLD WOMAN,m16
u266,VOGLER,m16
u267,VON STRACK,m16
u268,VON SWIETEN,m16
u269,ALEX,m17
u270,BENJAMIN,m17
u271,BOBBIE,m17
u272,BRINGSLY,m17
u273,CHESS PLAYER,m17
u274,DAVID,m17
u275,DR. HIRSCH,m17
u276,JACK,m17
u277,LT. VILLIERS,m17
u278,MISS GALLAGHER,m17
u279,MRS. HOBBS,m17
u280,ORDERLY,m17
u281,SECRETARY,m17
u282,SGT. MCMANUS,m17
u283,WOMAN,m17
u284,BILL,m18
u285,CHARLIE,m18
u286,CLARK,m18
u287,CLUETT,m18
u288,DICKSON,m18
u289,DUDE,m18
u290,GARDINER,m18
u291,GUARD,m18
u292,HELEN,m18
u293,HELEN'S VOICE,m18
u294,INSPECTOR,m18
u295,JANITOR,m18
u296,LADY,m18
u297,MATT,m18
u298,MIKE,m18
u299,MRS. DICKSON,m18
u300,MRS. HALLIGAN,m18
u301,MRS. PEMBROKE,m18
u302,O'BRIEN,m18
u303,OSCAR,m18
u304,SAMPSON,m18
u305,TELLER,m18
u306,BOB,m19
u307,BURLY DETECTIVE,m19
u308,COLE,m19
u309,COMANCHE TOM,m19
u310,DEPUTY,m19
u311,DOC MIMMS,m19
u312,FRANK,m19
u313,JESSE,m19
u314,JIM,m19
u315,JIMMY,m19
u316,LYLA,m19
u317,MA,m19
u318,MARSHALL,m19
u319,OLD MAN,m19
u320,PARKER,m19
u321,PASTOR,m19
u322,PINKERTON,m19
u323,RAINS,m19
u324,SHERRIFF,m19
u325,TELLER,m19
u326,ZEE,m19
u327,BATEMAN,m20
u328,CARNES,m20
u329,CARRUTHERS,m20
u330,CHRISTIE,m20
u331,COURTNEY,m20
u332,DAISY,m20
u333,ELIZABETH,m20
u334,EVELYN,m20
u335,HOMELESS MAN,m20
u336,JEAN,m20
u337,KIMBALL,m20
u338,MAITRE D',m20
u339,MRS. WOLFE,m20
u340,OWEN,m20
u341,PRICE,m20
u342,VAN PATTEN,m20
u343,VICTORIA,m20
u344,ALICE,m21
u345,BARTON,m21
u346,BRIAN,m21
u347,CYBER PUNDIT,m21
u348,DANNY,m21
u349,GARY,m21
u350,LARRY,m21
u351,LARRY KING,m21
u352,LEN,m21
u353,LISA,m21
u354,MILO,m21
u355,PHIL,m21
u356,RANDY,m21
u357,REDMOND,m21
u358,SHROT,m21
u359,TEDDY,m21
u360,ALOTTA,m22
u361,ANDY WARHOL,m22
u362,AUSTIN,m22
u363,BASIL EXPOSITION,m22
u364,CLERK,m22
u365,COMMANDER GILMOUR,m22
u366,DESTRUCTACON,m22
u367,DR. EVIL,m22
u368,FRAU FARBISSINA,m22
u369,GUARD,m22
u370,MICK JAGGER,m22
u371,MRS. KENSINGTON,m22
u372,MUSTAFA,m22
u373,NUMBER TWO,m22
u374,RADAR OPERATOR,m22
u375,SCOTT EVIL,m22
u376,THERAPIST,m22
u377,VANESSA,m22
u378,BAILEY,m23
u379,DR. DARLING,m23
u380,EMMA,m23
u381,FATHER,m23
u382,INVISIBLE JONES,m23
u383,MOTHER,m23
u384,OLD LADY,m23
u385,PORTER,m23
u386,SIR AUGUST,m23
u387,STEED,m23
u388,VALENTINE,m23
u389,VOICE,m23
u390,BOBBIE,m24
u391,CHULO,m24
u392,COLE,m24
u393,DEBBIE,m24
u394,EXECUTIVE,m24
u395,GARY,m24
u396,ILENE,m24
u397,JUMBO,m24
u398,LARRY,m24
u399,MANAGER,m24
u400,MR. T,m24
u401,MR. THOMERSON,m24
u402,MRS. THOMERSON,m24
u403,O'NEILL,m24
u404,PHOEBE,m24
u405,RAJAH,m24
u406,RICK,m24
u407,RYKO,m24
u408,SISTER MARY FRANCIS,m24
u409,STAN,m24
u410,WOMAN,m24
u411,AXE,m25
u412,BRIAN,m25
u413,CHIEF FITZGERALD,m25
u414,DENNIS,m25
u415,GRINDLE,m25
u416,HELEN,m25
u417,JENNIFER,m25
u418,RICCO,m25
u419,RONALD,m25
u420,SHADOW,m25
u421,STEPHEN,m25
u422,SWAYZAK,m25
u423,TIM,m25
u424,WILLY,m25
u425,ARIANE,m26
u426,ELDERLY BLACK WOMAN,m26
u427,FENCE,m26
u428,JC,m26
u429,JESUS,m26
u430,LARGE,m26
u431,LITE,m26
u432,LT,m26
u433,NUN,m26
u434,PRIEST,m26
u435,1/16TH BLACK,m27
u436,AUDIENCE,m27
u437,BIG BLACK,m27
u438,CHEEBA,m27
u439,DELACROIX,m27
u440,DOT,m27
u441,DUNWITTY,m27
u442,GARY BYRD,m27
u443,HONEYCUTT,m27
u444,JUKKA,m27
u445,JUNEBUG,m27
u446,MANRAY,m27
u447,MANTAN,m27
u448,MONA,m27
u449,MYRNA,m27
u450,ORCHID,m27
u451,SLEEP 'N EAT,m27
u452,SLOAN,m27
u453,TAVIS SMILEY,m27
u454,ARMED GENTLEMAN,m28
u455,CAPTAIN BEST,m28
u456,CAPTAIN GALGENSTEIN,m28
u457,CAPTAIN GROGAN,m28
u458,CAPTAIN O'REILLY,m28
u459,CHEVALIER,m28
u460,COUNT,m28
u461,COUNTESS,m28
u462,DOROTHY,m28
u463,HARRY,m28
u464,HENRI,m28
u465,LORD WEST,m28
u466,MICHAEL,m28
u467,MINISTER GALGENSTEIN,m28
u468,MRS. O'REILLY,m28
u469,NEWCOMBE,m28
u470,PATRICK,m28
u471,PRINCE,m28
u472,PRUSSIAN OFFICER,m28
u473,RODERICK,m28
u474,SIR WILLIAM,m28
u475,VALDEZ,m28
u476,BARTENDER,m29
u477,CHILDS,m29
u478,DUNBAR,m29
u479,HARDY,m29
u480,KENDALL,m29
u481,MUELLER,m29
u482,OSBORNE,m29
u483,PIKE,m29
u484,SERGEANT,m29
u485,STYLES,m29
u486,THE CADETS,m29
u487,WEST,m29
u488,AMOS,m30
u489,BEAMEN,m30
u490,DON PRICE,m30
u491,DR. BENNETT,m30
u492,EDWARD,m30
u493,JENNY,m30
u494,JOSEPHINE,m30
u495,KARL,m30
u496,NORTHER WINSLOW,m30
u497,SANDRA,m30
u498,WILL,m30
u499,ALEXEI,m31
u500,BRANCH MANAGER,m31
u501,JOHN,m31
u502,NADIA,m31
u503,OFFICIAL,m31
u504,YURI,m31
u505,ANGELA,m32
u506,BOJO,m32
u507,BRYAN,m32
u508,ELLA MAE,m32
u509,GILL,m32
u510,JESSE,m32
u511,LAZARUS,m32
u512,LINCOLN,m32
u513,MAYELLA,m32
u514,R.L.,m32
u515,RAE,m32
u516,RONNIE,m32
u517,ROSE,m32
u518,SANDY,m32
u519,TEHRONNE,m32
u520,CHARLIE,m33
u521,CONNIE,m33
u522,ICH,m33
u523,JOYCE,m33
u524,KOBO,m33
u525,NICK,m33
u526,OHASHI,m33
u527,OLIVER,m33
u528,SUGAI,m33
u529,BATTY,m34
u530,BRYANT,m34
u531,CHEW,m34
u532,DECKARD,m34
u533,DECKARD'S VOICE,m34
u534,ESPER,m34
u535,GAFF,m34
u536,HOLDEN,m34
u537,LEON,m34
u538,MARY,m34
u539,PRIS,m34
u540,RACHAEL,m34
u541,SALOME,m34
u542,SEBASTIAN,m34
u543,TAFFEY,m34
u544,TYRELL,m34
u545,VOICE,m34
u546,WHEELER,m34
u547,ADAM,m35
u548,ARON,m35
u549,ATKINSON,m35
u550,BELLBOY,m35
u551,BUTCHER,m35
u552,BYSTANDER #1,m35
u553,CALVIN,m35
u554,CLERK,m35
u555,CLIFF,m35
u556,EVE,m35
u557,HELEN,m35
u558,JERRY,m35
u559,LEVY,m35
u560,MISS SWEET,m35
u561,MOM,m35
u562,PILOT,m35
u563,POSTAL WORKER,m35
u564,SODA JERK,m35
u565,STREET WALKER,m35
u566,TOWER,m35
u567,TROY,m35
u568,AUNT BARBARA,m36
u569,BEN,m36
u570,DETECTIVE WILLIAMS,m36
u571,DOROTHY,m36
u572,F.B.I. MAN,m36
u573,FRANK,m36
u574,JEFFREY,m36
u575,MIKE,m36
u576,MR. BEAUMONT,m36
u577,MRS. BEAUMONT,m36
u578,MRS. WILLIAMS,m36
u579,RAYMOND,m36
u580,SANDY,m36
u581,YELLOW MAN,m36
u582,AUGUSTUS,m37
u583,BOTH,m37
u584,CHAFFEY,m37
u585,CONNOR,m37
u586,DOC,m37
u587,DOLLY,m37
u588,DONNA,m37
u589,DUFFY,m37
u590,GREENLY,m37
u591,MOM,m37
u592,MURPHY,m37
u593,PRIEST,m37
u594,ROCCO,m37
u595,ROZ,m37
u596,SMECKER,m37
u597,VINCENZO,m37
u598,YAKAVETTA,m37
u599,ANTHONY,m38
u600,APPLEJACK,m38
u601,BOB,m38
u602,COP,m38
u603,DIGNAN,m38
u604,EMPLOYEE,m38
u605,FUTURE MAN,m38
u606,INEZ,m38
u607,JACKSON,m38
u608,KUMAR,m38
u609,LITTLE RICHARD,m38
u610,MAN,m38
u611,MR. HENRY,m38
u612,ABBOTT,m39
u613,BOURNE,m39
u614,CRONIN,m39
u615,GRETKOV,m39
u616,IRENA,m39
u617,IVAN,m39
u618,JARDA,m39
u619,MARIE,m39
u620,MARSHALL,m39
u621,NEVINS/PHONE,m39
u622,NICKY,m39
u623,PAMELA,m39
u624,PAMELA/PHONE,m39
u625,TEDDY,m39
u626,VIC,m39
u627,ZORN,m39
u628,ARGYLE,m40
u629,CRAIG,m40
u630,EDWARD,m40
u631,HAMISH,m40
u632,LEADER,m40
u633,LEPER,m40
u634,LONGSHANKS,m40
u635,MAGISTRATE,m40
u636,MARION,m40
u637,NICOLETTE,m40
u638,PRINCESS,m40
u639,ROBERT,m40
u640,STEPHEN,m40
u641,WALLACE,m40
u642,WILLIAM,m40
u643,ANDREA,m41
u644,CARLOS,m41
u645,DR. REDFIELD,m41
u646,EVAN,m41
u647,HEIDI,m41
u648,HUNTER,m41
u649,JASON,m41
u650,KAYLEIGH,m41
u651,LENNY,m41
u652,MR. MILLER,m41
u653,MRS. BOSWELL,m41
u654,PROFESSOR CARTER,m41
u655,THUMPER,m41
u656,TOMMY,m41
u657,WAITRESS,m41
u658,ANNINA,m42
u659,BERGER,m42
u660,CARL,m42
u661,EMIL,m42
u662,EUROPEAN,m42
u663,FERRARI,m42
u664,ILSA,m42
u665,LASZLO,m42
u666,RENAULT,m42
u667,RICK,m42
u668,SAM,m42
u669,STRASSER,m42
u670,TOURIST,m42
u671,UGARTE,m42
u672,YVONNE,m42
u673,ALEKSEI,m43
u674,BADCHUCK,m43
u675,BETTINA,m43
u676,CHUCK,m43
u677,CHUCK/CAPTAIN,m43
u678,DOCTOR,m43
u679,DRIVER,m43
u680,ERICA,m43
u681,GOODCHUCK,m43
u682,KELLY,m43
u683,LESLIE,m43
u684,MOM,m43
u685,ROGER,m43
u686,STAN,m43
u687,TECHNICIAN,m43
u688,VOICE,m43
u689,ANGELA,m44
u690,BUSTER,m44
u691,CANDY,m44
u692,CURLY,m44
u693,EDNA,m44
u694,FUZZY,m44
u695,HOMER,m44
u696,JACK,m44
u697,LARCH,m44
u698,MAJOR WINSLOW,m44
u699,MARY AGNES,m44
u700,MR. ROSE,m44
u701,MRS. GOODHALL,m44
u702,MUDDY,m44
u703,OLIVE,m44
u704,PEACHES,m44
u705,RAY,m44
u706,ROSE ROSE,m44
u707,WALLY,m44
u708,ASHBY,m45
u709,BIG AL,m45
u710,BUTCH,m45
u711,GILLETTE,m45
u712,GORDO,m45
u713,JAKE,m45
u714,KING PIN,m45
u715,LILY,m45
u716,LIONEL,m45
u717,LUPUS,m45
u718,MILES,m45
u719,MOONAN,m45
u720,MR. LEWIS,m45
u721,ROTTOVICH,m45
u722,SALESGIRL,m45
u723,SOBOZINSKI,m45
u724,SUITS,m45
u725,BELLA,m46
u726,DEALER,m46
u727,GILES,m46
u728,JACK,m46
u729,JACK SR.,m46
u730,JANI,m46
u731,LUCY,m46
u732,MAN,m46
u733,MARION,m46
u734,MATT,m46
u735,REYNOLDS,m46
u736,ROSS,m46
u737,BOILER,m47
u738,BOMB #19,m47
u739,BOMB #20,m47
u740,DOOLITTLE,m47
u741,PINBACK,m47
u742,POWELL,m47
u743,TALBY,m47
u744,BLONDE,m48
u745,BRUNO,m48
u746,DARREN,m48
u747,HERBAL,m48
u748,INGA,m48
u749,KENDRA,m48
u750,LAUREN,m48
u751,LOGAN,m48
u752,LYDIA,m48
u753,MAX,m48
u754,NORMAL,m48
u755,ORIGINAL CINDY,m48
u756,SKETCHY,m48
u757,SONRISA,m48
u758,SOPHY,m48
u759,THEO,m48
u760,VOGELSANG,m48
u761,AMANDA,m49
u762,BARTENDER,m49
u763,BETH,m49
u764,CHRISTINE,m49
u765,HAWK,m49
u766,JAM,m49
u767,KENNY,m49
u768,LEX,m49
u769,LITTLE KID,m49
u770,MAN WITH COAT,m49
u771,MRS. BRUCE,m49
u772,PRIEST,m49
u773,SCALPER,m49
u774,SIMPLE SIMON'S VOICE,m49
u775,TRIP,m49
u776,TRIP'S VOICE,m49
u777,AUDIENCE,m50
u778,DAVID,m50
u779,DONNIE,m50
u780,DR. MONNITOFF,m50
u781,DR. THURMAN,m50
u782,EDDIE,m50
u783,ELIZABETH,m50
u784,FRANK,m50
u785,GRETCHEN,m50
u786,JIM CUNNINGHAM,m50
u787,LEROY,m50
u788,MS. FARMER,m50
u789,MS. POMEROY,m50
u790,PRINCIPAL COLE,m50
u791,RONALD,m50
u792,ROSE,m50
u793,SAMANTHA,m50
u794,SEAN,m50
u795,SETH,m50
u796,AMBER,m51
u797,ANNETTE,m51
u798,BECKY,m51
u799,BRETT,m51
u800,COLLEEN,m51
u801,DOCUMENTARIAN,m51
u802,FRY GIRL #1,m51
u803,GLADYS,m51
u804,HANK,m51
u805,HAROLD,m51
u806,IRIS,m51
u807,LESLIE,m51
u808,LESTER,m51
u809,LISA,m51
u810,LORETTA,m51
u811,MR. HOWARD,m51
u812,MR. LARSON,m51
u813,PREGNANT FRY GIRL,m51
u814,TERRY,m51
u815,TINA,m51
u816,ALL,m52
u817,BOB,m52
u818,CHICO,m52
u819,ENSEMBLE,m52
u820,GROUCHO,m52
u821,MRS. TEASDALE,m52
u822,TRENTINO,m52
u823,VERA,m52
u824,ANNE,m53
u825,BOY,m53
u826,BYTES,m53
u827,CARR,m53
u828,FOX,m53
u829,K. HEN,m53
u830,KATH,m53
u831,KENDAL,m53
u832,MERRICK,m53
u833,MOTHERSHEAD,m53
u834,NIGHT PORTER,m53
u835,NORA,m53
u836,OWNER,m53
u837,PLUMED DWARF,m53
u838,TREVES,m53
u839,AUD,m54
u840,ERIK,m54
u841,FREYA,m54
u842,GIRL,m54
u843,GRANDAD,m54
u844,GRANDFATHER,m54
u845,HARALD,m54
u846,HELGA,m54
u847,IVAR,m54
u848,KEITEL,m54
u849,KING ARNULF,m54
u850,LEIF,m54
u851,LOKI,m54
u852,ODIN,m54
u853,SNORRI,m54
u854,SVEN,m54
u855,SVEN'S DAD,m54
u856,THORFINN,m54
u857,THORFINN'S MUM,m54
u858,CARRIE,m55
u859,CLEMENTINE,m55
u860,CLEMENTINE'S VOICE,m55
u861,JOEL,m55
u862,MARY,m55
u863,MIERZWIAK,m55
u864,NAOMI,m55
u865,NAOMI'S VOICE,m55
u866,OLD WOMAN,m55
u867,PATRICK,m55
u868,RECEPTIONIST,m55
u869,STAN,m55
u870,STAN'S VOICE,m55
u871,VOICE-OVER,m55
u872,CHINK,m56
u873,HOWARD,m56
u874,JELLY,m56
u875,JULIAN,m56
u876,MAN,m56
u877,SISSY,m56
u878,THE COUNTESS,m56
u879,COOPER,m57
u880,DJ,m57
u881,HOLLIS,m57
u882,JUSTIN,m57
u883,LYLE,m57
u884,MILLER,m57
u885,PETERS,m57
u886,SMITH,m57
u887,STARCK,m57
u888,WEIR,m57
u889,ALICIA,m58
u890,BEN,m58
u891,DEBBIE,m58
u892,DOCTOR,m58
u893,JOHNNY,m58
u894,LEONARD,m58
u895,REED,m58
u896,SEXY NURSE,m58
u897,SUE,m58
u898,THE THING,m58
u899,VICTOR,m58
u900,ARNOLD,m59
u901,BRAD,m59
u902,BUSINESSMAN,m59
u903,CURTIS,m59
u904,DAMONE,m59
u905,DENNIS,m59
u906,GIRL,m59
u907,GRIFFIN,m59
u908,HAROLD,m59
u909,L.C.,m59
u910,LINDA,m59
u911,LISA,m59
u912,MR. HAND,m59
u913,RON,m59
u914,SPICOLI,m59
u915,STACY,m59
u916,THE RAT,m59
u917,WAITRESS,m59
u918,CLERK,m60
u919,DA,m60
u920,DUKE,m60
u921,GONZO,m60
u922,HIGHWAY PATROLMAN,m60
u923,HITCHHIKER,m60
u924,MAID,m60
u925,PROPRIETOR,m60
u926,ADULTERER,m61
u927,BARTENDER,m61
u928,BEER GUY,m61
u929,BELLE,m61
u930,BOSS MAN,m61
u931,BOZO,m61
u932,GOLDIE,m61
u933,GOOD GUY,m61
u934,GRANDPA,m61
u935,HEROINE,m61
u936,PARA,m61
u937,ROADIE,m61
u938,SICKLY BROWNIE,m61
u939,TRAMPY,m61
u940,TROOP LEADER,m61
u941,TUFFY,m61
u942,BARNES,m62
u943,BEBE,m62
u944,CLAIRE,m62
u945,CLIFFORD,m62
u946,CLURMAN,m62
u947,COP,m62
u948,DICK,m62
u949,DOCTOR,m62
u950,DOYLE,m62
u951,DRAMA TEACHER,m62
u952,EDWARDS,m62
u953,ERNEST,m62
u954,FIRE CHIEF,m62
u955,FRANCES,m62
u956,HARRY,m62
u957,HITCHHIKER,m62
u958,JUDGE,m62
u959,JUDGE HILLIER'S WIFE,m62
u960,KAMINSKI,m62
u961,LAWYER,m62
u962,LILLIAN,m62
u963,MAN,m62
u964,ODETS,m62
u965,OLDER NURSE,m62
u966,SERGEANT,m62
u967,SYMINGTON,m62
u968,YORK & CROWD,m62
u969,YOUNG MAN,m62
u970,YOUNG NURSE,m62
u971,CREATURE,m63
u972,ELIZABETH,m63
u973,FATHER,m63
u974,GRANDFATHER,m63
u975,GRIGORI,m63
u976,HENRY,m63
u977,JUSTINE,m63
u978,KREMPE,m63
u979,PROSECUTOR,m63
u980,VICTOR,m63
u981,WALDMAN,m63
u982,WALTON,m63
u983,ALICE,m64
u984,BARRY,m64
u985,BILL,m64
u986,BRENDA,m64
u987,CLAUDETTE,m64
u988,JACK,m64
u989,MARCIE,m64
u990,MRS. VOORHEES,m64
u991,NED,m64
u992,SANDY,m64
u993,STEVE,m64
u994,TIERNEY,m64
u995,BORDER GUARD,m65
u996,CARLOS,m65
u997,JACOB,m65
u998,KATE,m65
u999,KELLY HOUGE,m65
u1000,MCGRAW,m65
u1001,PETE,m65
u1002,RAZOR CHARLIE,m65
u1003,RICHARD,m65
u1004,SCOTT,m65
u1005,SETH,m65
u1006,STANLEY CHASE,m65
u1007,BLONDELL,m66
u1008,C.O.,m66
u1009,CORTEZ,m66
u1010,DEHAVEN,m66
u1011,DEHAVEN'S AIDE,m66
u1012,FLAG OFFICER #1,m66
u1013,FLEA,m66
u1014,HAYES,m66
u1015,INSTRUCTOR JOHNS,m66
u1016,INSTRUCTOR PYRO,m66
u1017,JORDAN,m66
u1018,MCCOOL,m66
u1019,ROYCE,m66
u1020,SLUTNIK,m66
u1021,THE CHIEF,m66
u1022,THE SPOOK,m66
u1023,WICKWIRE,m66
u1024,ANIMAL,m67
u1025,AUDREY,m67
u1026,CAIMAN,m67
u1027,ELSIE,m67
u1028,JEAN-CLAUDE,m67
u1029,KID,m67
u1030,LT. ANDERSON,m67
u1031,LUCY,m67
u1032,MAJOR HICKS,m67
u1033,MAYOR,m67
u1034,NICK,m67
u1035,RAYMOND,m67
u1036,ALEXANDER,m68
u1037,BRANDON,m68
u1038,COMPUTER,m68
u1039,FRED,m68
u1040,GUY,m68
u1041,GWEN,m68
u1042,JASON,m68
u1043,KYLE,m68
u1044,LATHE,m68
u1045,MATHESAR,m68
u1046,NERVOUS TECH,m68
u1047,QUELLEK,m68
u1048,SARRIS,m68
u1049,TOMMY,m68
u1050,ARNOLD,m69
u1051,BILLY LEE,m69
u1052,CORNWALLIS,m69
u1053,GENERAL LEE,m69
u1054,HAMILTON,m69
u1055,HORATIO GATES,m69
u1056,JOHN ADAMS,m69
u1057,JOSEPH REED,m69
u1058,LAFAYETTE,m69
u1059,MARTHA,m69
u1060,MAWHOOD,m69
u1061,NATHANAEL GREENE,m69
u1062,SALLY,m69
u1063,SAM ADAMS,m69
u1064,WASHINGTON,m69
u1065,WILLIAM,m69
u1066,YOUNG WASHINGTON,m69
u1067,ATTENDANT,m70
u1068,BEAR,m70
u1069,BO CATLETT,m70
u1070,BONES,m70
u1071,CHILI,m70
u1072,CURTIS,m70
u1073,DICK,m70
u1074,DIRECTOR,m70
u1075,DORIS,m70
u1076,ESCOBAR,m70
u1077,HARRY,m70
u1078,KAREN,m70
u1079,LEO,m70
u1080,MANAGER,m70
u1081,MARTIN,m70
u1082,RAY BONES,m70
u1083,RONNIE,m70
u1084,TOMMY,m70
u1085,COASTGUARD DISPATCHER,m71
u1086,DODGE,m71
u1087,EPPS,m71
u1088,GREER,m71
u1089,MURPHY,m71
u1090,RIVETER,m71
u1091,VASILI,m71
u1092,DAD,m72
u1093,DANA,m72
u1094,ENID,m72
